record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
 
1 1 28.57 0:00:00:00.21/600 0:00:00:00.00/600 137.58 283.37 199.40 115.85 -1000.00 -1000.00 48.00 33.00 
2 2 29.27 0:00:00:00.41/600 0:00:00:00.21/600 93.70 361.49 221.60 147.98 -1000.00 -1000.00 48.00 33.00 
3 3 29.51 0:00:00:00.61/600 0:00:00:00.41/600 28.12 427.74 256.51 178.04 -1000.00 -1000.00 41.00 23.00 
4 4 29.63 0:00:00:00.81/600 0:00:00:00.61/600 16.36 422.94 262.77 176.49 -1000.00 -1000.00 38.00 29.00 
5 5 29.70 0:00:00:00.101/600 0:00:00:00.81/600 -8.01 413.37 276.00 173.39 -1000.00 -1000.00 36.00 26.00 
6 6 29.75 0:00:00:00.121/600 0:00:00:00.101/600 -31.03 404.36 288.81 170.39 -1000.00 -1000.00 39.00 27.00 
7 7 29.79 0:00:00:00.141/600 0:00:00:00.121/600 -32.54 402.52 289.63 169.64 -1000.00 -1000.00 38.00 28.00 
39 39 29.96 0:00:00:01.181/600 0:00:00:01.161/600 -37.64 409.69 292.72 173.03 -1000.00 -1000.00 28.00 19.00 
40 40 29.96 0:00:00:01.201/600 0:00:00:01.181/600 -37.77 409.22 292.78 172.83 -1000.00 -1000.00 30.00 19.00 
41 41 29.96 0:00:00:01.221/600 0:00:00:01.201/600 -35.87 409.92 291.71 173.06 -1000.00 -1000.00 35.00 21.00 
42 42 29.96 0:00:00:01.241/600 0:00:00:01.221/600 -35.28 409.97 291.37 173.05 -1000.00 -1000.00 33.00 20.00 
43 42 29.97 0:00:00:01.261/600 0:00:00:01.241/600 -34.28 409.95 290.79 173.00 -1000.00 -1000.00 34.00 23.00 
44 44 29.93 0:00:00:01.282/600 0:00:00:01.261/600 -33.59 410.19 290.40 173.08 -1000.00 -1000.00 33.00 20.00 
45 45 29.93 0:00:00:01.302/600 0:00:00:01.282/600 -34.90 409.36 291.13 172.77 -1000.00 -1000.00 30.00 23.00 
46 46 29.93 0:00:00:01.322/600 0:00:00:01.302/600 -34.84 409.35 291.10 172.76 -1000.00 -1000.00 33.00 21.00 
47 47 29.94 0:00:00:01.342/600 0:00:00:01.322/600 -35.74 409.00 291.61 172.64 -1000.00 -1000.00 30.00 21.00 
48 48 29.94 0:00:00:01.362/600 0:00:00:01.342/600 -35.61 408.80 291.53 172.55 -1000.00 -1000.00 34.00 22.00 
49 49 29.94 0:00:00:01.382/600 0:00:00:01.362/600 -34.64 408.82 290.97 172.52 -1000.00 -1000.00 36.00 27.00 
50 50 29.94 0:00:00:01.402/600 0:00:00:01.382/600 -33.63 408.63 290.39 172.39 -1000.00 -1000.00 40.00 26.00 
51 51 29.94 0:00:00:01.422/600 0:00:00:01.402/600 -30.46 410.37 288.61 173.02 -1000.00 -1000.00 41.00 20.00 
52 52 29.94 0:00:00:01.442/600 0:00:00:01.422/600 -29.83 410.54 288.26 173.07 -1000.00 -1000.00 38.00 25.00 
53 53 29.94 0:00:00:01.462/600 0:00:00:01.442/600 -29.84 411.16 288.27 173.34 -1000.00 -1000.00 34.00 23.00 
54 54 29.94 0:00:00:01.482/600 0:00:00:01.462/600 -32.14 410.23 289.57 173.03 -1000.00 -1000.00 31.00 23.00 
55 55 29.95 0:00:00:01.502/600 0:00:00:01.482/600 -35.21 408.37 291.29 172.34 -1000.00 -1000.00 31.00 24.00 
56 56 29.95 0:00:00:01.522/600 0:00:00:01.502/600 -37.12 407.70 292.37 172.12 -1000.00 -1000.00 30.00 22.00 
57 57 29.95 0:00:00:01.542/600 0:00:00:01.522/600 -37.92 407.72 292.84 172.17 -1000.00 -1000.00 30.00 21.00 
58 58 29.95 0:00:00:01.562/600 0:00:00:01.542/600 -37.02 408.09 292.33 172.29 -1000.00 -1000.00 35.00 24.00 
59 59 29.95 0:00:00:01.582/600 0:00:00:01.562/600 -36.15 408.70 291.84 172.53 -1000.00 -1000.00 34.00 22.00 
60 60 29.95 0:00:00:02.02/600 0:00:00:01.582/600 -35.80 408.79 291.64 172.55 -1000.00 -1000.00 31.00 22.00 
61 61 29.95 0:00:00:02.22/600 0:00:00:02.02/600 -36.02 408.01 291.75 172.22 -1000.00 -1000.00 31.00 24.00 
62 62 29.95 0:00:00:02.42/600 0:00:00:02.22/600 -36.75 407.96 292.17 172.22 -1000.00 -1000.00 30.00 22.00 
63 63 29.95 0:00:00:02.62/600 0:00:00:02.42/600 -37.88 406.92 292.79 171.81 -1000.00 -1000.00 31.00 23.00 
64 64 29.95 0:00:00:02.82/600 0:00:00:02.62/600 -36.96 407.29 292.27 171.94 -1000.00 -1000.00 35.00 23.00 
65 65 29.95 0:00:00:02.102/600 0:00:00:02.82/600 -36.91 406.67 292.23 171.66 -1000.00 -1000.00 32.00 27.00 
66 66 29.95 0:00:00:02.122/600 0:00:00:02.102/600 -37.02 406.32 292.28 171.51 -1000.00 -1000.00 30.00 23.00 
67 67 29.96 0:00:00:02.142/600 0:00:00:02.122/600 -37.08 406.41 292.32 171.55 -1000.00 -1000.00 31.00 24.00 
68 68 29.96 0:00:00:02.162/600 0:00:00:02.142/600 -38.51 404.92 293.11 170.95 -1000.00 -1000.00 31.00 25.00 
69 69 29.96 0:00:00:02.182/600 0:00:00:02.162/600 -38.51 405.05 293.12 171.01 -1000.00 -1000.00 32.00 26.00 
70 70 29.96 0:00:00:02.202/600 0:00:00:02.182/600 -37.39 405.66 292.48 171.23 -1000.00 -1000.00 35.00 23.00 
71 71 29.96 0:00:00:02.222/600 0:00:00:02.202/600 -21.10 411.36 283.31 173.06 -1000.00 -1000.00 44.00 28.00 
72 72 29.96 0:00:00:02.242/600 0:00:00:02.222/600 -19.12 412.61 282.22 173.52 -1000.00 -1000.00 39.00 27.00 
73 73 29.96 0:00:00:02.262/600 0:00:00:02.242/600 -18.29 413.40 281.77 173.84 -1000.00 -1000.00 34.00 23.00 
74 74 29.96 0:00:00:02.282/600 0:00:00:02.262/600 -18.59 412.75 281.93 173.56 -1000.00 -1000.00 35.00 26.00 
75 75 29.96 0:00:00:02.302/600 0:00:00:02.282/600 -34.66 406.62 290.94 171.55 -1000.00 -1000.00 32.00 25.00 
76 76 29.96 0:00:00:02.322/600 0:00:00:02.302/600 -36.43 404.91 291.92 170.86 -1000.00 -1000.00 32.00 26.00 
77 77 29.96 0:00:00:02.342/600 0:00:00:02.322/600 -37.16 404.32 292.32 170.63 -1000.00 -1000.00 30.00 22.00 
78 78 29.96 0:00:00:02.362/600 0:00:00:02.342/600 -36.85 404.19 292.14 170.56 -1000.00 -1000.00 35.00 23.00 
79 79 29.96 0:00:00:02.382/600 0:00:00:02.362/600 -36.19 403.98 291.76 170.44 -1000.00 -1000.00 35.00 26.00 
80 80 29.96 0:00:00:02.402/600 0:00:00:02.382/600 -36.08 403.86 291.69 170.38 -1000.00 -1000.00 32.00 25.00 
81 81 29.96 0:00:00:02.422/600 0:00:00:02.402/600 -36.44 403.82 291.90 170.38 -1000.00 -1000.00 27.00 18.00 
82 82 29.96 0:00:00:02.442/600 0:00:00:02.422/600 -37.20 403.49 292.33 170.26 -1000.00 -1000.00 31.00 21.00 
83 83 29.96 0:00:00:02.462/600 0:00:00:02.442/600 -37.76 403.09 292.64 170.11 -1000.00 -1000.00 32.00 23.00 
